ID,Kürzel,Jahr,Titel,Band,Autor - Nachname,Vorname,Ort,Verlag,Kommentar,Zotero,Anmerkung,Zitat,Periode,Quelle_Typ,Quelle_Subtyp,Quelle_Spezifikation
Seibicke1998II,Seibicke 1998 II,1998,Historisches Deutsches Vornamenbuch,Band 2: F–K,Seibicke,Wilfried,Berlin / New York,De Gruyter,,1,,,,Literatur,Fachliteratur,Wörterbuch
Seibicke2003IV,Seibicke 2003 IV,2003,Historisches Deutsches Vornamenbuch,Band 4: Sc–Z,Seibicke,Wilfried,Berlin / New York,De Gruyter,,1,,,,Literatur,Fachliteratur,Wörterbuch
Snoj2015_online,Snoj 2015 online,2015,Slovenski etimološki slovar. Tretja izdaja. Spletna izdaja na www.fran.si,,Snoj,Marko,Ljubljana,ZRC SAZU,https://www.fran.si/,,,,,Literatur,,
Sonntagspost,Sonntagspost,1945–1994,Sonntagspost. Heimatzeitung und amtliches Nachrichtenblatt,,,,Kufstein,, 05.03.1950,1,,,,Literatur,Journalist.Text,Zeitung
Steinbruckner1976,Steinbruckner 1976,1964/1976,Dialektgeographie des oberen Mühlviertels. Marburg 1976,DDG 102,Steinbruckner,Bruno Friedrich,Innsbruck,DDG,,,,,,Literatur,,
Steinhauser1978,Steinhauser 1978,1978,Slawisches im Wienerischen. Zweite vermehrte und verbesserte Auflage,,Steinhauser,Walter,Wien,Verband der wissenschaftlichen Gesellschaften Österreichs,,,,,,Literatur,,
SteirWb1903,Steir.Wb. 1903,1903,Steirischer Wortschatz. Als Ergänzung zu Schmellers Bayerischem Wörterbuch,,Unger/Khull,Theodor/Ferdinand,Graz,Leuschner & Lubensky,,1,,,,Literatur,Fachliteratur,Wörterbuch
Stelzhamer1841,Stelzhamer 1841,1841,Neue Gesänge in obderenns'scher Volksmundart,,Stelzhamer,Franz,Wien,Ueberreuter,,,,,,Literatur,,
Steuerwald1988,Steuerwald 1988,1988,"Türkisch-deutsches Wörterbuch = Türkçe-Almanca sözlük. 2., verb. u. erw. Aufl.",,Steuerwald,Karl,Wiesbaden,Harrassowitz,,,,,,Literatur,Fachliteratur,Wörterbuch
STir.Wb.,STir. WB. 1972,1972,"Tiroler Wortschatz an Eisack, Rienz und Etsch. Nachlese zu Josef Schatz, Wörterbuch der Tiroler Mundarten. Zum Druck vorbereitet von Finsterwalder, Karl.",,Fink,Hans,München,,,,,,,Literatur,Fachliteratur,Wörterbuch
STirWbNtr1979,STir. Wb. Ntr. 1979,1979,Neugesammelte Mundartausdrücke. In: ZsSchlern 53 (1979) 76-87,,Fink,Hans,,,,,,,,Literatur,,
Stöhr1956,Stöhr 1956 ,1956,Die Sprache in den Eipeldauerbriefen Josef Richters (Wiener Mundart und Umgangssprache vor 160 Jahren). Diss. (masch.),,Stöhr,Theodor,Wien,Diss. ,,,,,,Literatur,Fachliteratur,Dissertation
